"Phrase","Count"
"In this series",8
"this series of",8
"series of short",5
"of short videos",5
"short videos, we",4
"we will look",11
"will look at",9
"look at topics",5
"at topics for",3
"topics for the",3
"for the Power",3
"the Power Basic",13
"Power Basic console",2
"Basic console compiler",1
"Today we will",8
"will look again",2
"look again at",2
"again at commands",1
"at commands for",2
"commands for the",2
"for the console",4
"This was our",3
"was our application",2
"our application at",2
"application at the",2
"at the end",18
"the end of",24
"end of the",20
"of the last",5
"the last video",4
"We have created",2
"have created a",2
"created a console",1
"a console application",2
"console application which",2
"application which displays",1
"which displays information",1
"displays information to",1
"information to the",3
"to the user",21
"the user on",2
"user on the",1
"on the console",7
"the console screen",2
"As you will",10
"you will see",11
"will see from",2
"see from the",4
"from the start",1
"the start of",3
"start of the",2
"of the code",3
"the code, we",1
"we have two",6
"have two lines",2
"two lines of",1
"lines of code",4
"of code at",1
"code at the",1
"at the beginning",16
"the beginning which",1
"beginning which define",1
"which define two",1
"define two constants",1
"two constants, one",2
"one for rows",2
"for rows and",3
"rows and one",2
"and one for",6
"one for columns",2
"In the pb_main()",1
"the pb_main() function",1
"pb_main() function, we",1
"we make a",1
"make a call",1
"a call to",3
"call to a",3
"to a prep",1
"a prep screen",1
"prep screen function",1
"This one here",4
"This prepares our",1
"prepares our console",1
"our console for",1
"console for use",1
"will see in",3
"see in here",1
"in here, we",2
"we have a",17
"have a command",2
"a command which",1
"command which sets",1
"which sets the",1
"sets the size",1
"the size of",3
"size of the",1
"of the screen",4
"the screen using",2
"screen using the",1
"using the con",3
"the con virtual",1
"con virtual command",1
"So currently we're",1
"currently we're set",1
"we're set for",1
"set for 25",1
"for 25 rows",1
"25 rows and",2
"rows and 80",2
"and 80 columns",2
"80 columns, which",1
"which is the",12
"is the standard",1
"the standard console",1
"standard console size",1
"The first thing",2
"first thing we're",1
"thing we're going",2
"we're going to",85
"going to do",4
"to do today",2
"do today is",1
"today is to",1
"is to increase",1
"to increase the",1
"increase the size",1
"size of our",2
"of our console",2
"our console, to",1
"to go up",1
"go up to",1
"up to 50",1
"to 50 rows",1
"50 rows and",1
"rows and 100",1
"and 100 columns",1
"If we run",9
